<http://www.wikidata.org/entity/Q4167836> 2199945 "Wikimedia category"@en . 
<http://www.wikidata.org/entity/Q5> 2105501 "human"@en . 
<http://www.wikidata.org/entity/Q16521> 478800 "taxon"@en . 
<http://www.wikidata.org/entity/Q11266439> 222450 "Wikimedia template"@en . 
<http://www.wikidata.org/entity/Q482994> 158860 "album"@en . 
<http://www.wikidata.org/entity/Q11424> 158849 "film"@en . 
<http://www.wikidata.org/entity/Q13406463> 144557 "Wikimedia list article"@en . 
<http://www.wikidata.org/entity/Q27020041> 99918 "sports season"@en . 
<http://www.wikidata.org/entity/Q532> 90131 "village"@en . 
<http://www.wikidata.org/entity/Q486972> 85646 "human settlement"@en . 
<http://www.wikidata.org/entity/Q101352> 72037 "family name"@en . 
<http://www.wikidata.org/entity/Q7725634> 68783 "literary work"@en . 
<http://www.wikidata.org/entity/Q4830453> 59985 "business"@en . 
<http://www.wikidata.org/entity/Q134556> 52486 "single"@en . 
<http://www.wikidata.org/entity/Q5398426> 43068 "television series"@en . 
<http://www.wikidata.org/entity/Q215380> 41972 "musical group"@en . 
<http://www.wikidata.org/entity/Q55488> 41508 "railway station"@en . 
<http://www.wikidata.org/entity/Q4022> 40798 "river"@en . 
<http://www.wikidata.org/entity/Q484170> 37482 "commune of France"@en . 
<http://www.wikidata.org/entity/Q17343829> 37366 "unincorporated community"@en . 
<http://www.wikidata.org/entity/Q3863> 29809 "asteroid"@en . 
<http://www.wikidata.org/entity/Q43229> 29794 "organization"@en . 
<http://www.wikidata.org/entity/Q7889> 29479 "video game"@en . 
<http://www.wikidata.org/entity/Q8502> 28724 "mountain"@en . 
<http://www.wikidata.org/entity/Q16510064> 26655 "sporting event"@en . 
<http://www.wikidata.org/entity/Q476028> 26156 "association football club"@en . 
<http://www.wikidata.org/entity/Q34442> 26126 "road"@en . 
<http://www.wikidata.org/entity/Q56436498> 25511 "village in India"@en . 
<http://www.wikidata.org/entity/Q16970> 24630 "church building"@en . 
<http://www.wikidata.org/entity/Q14350> 23505 "radio station"@en . 
<http://www.wikidata.org/entity/Q9826> 18706 "high school"@en . 
<http://www.wikidata.org/entity/Q41176> 18355 "building"@en . 
<http://www.wikidata.org/entity/Q5084> 16277 "hamlet"@en . 
<http://www.wikidata.org/entity/Q7278> 16051 "political party"@en . 
